"Type","NPT4","PCTPELL","PCTFLOAN"
"Public",-1.41943799665851,-1.33229912796333,-1.7987940627934
"Private",0.851482034446241,-0.781324375025801,-0.0575204326046875
"Private",1.77411844666,-2.29195894929265,-1.70792963173583
"Private",0.469388182877845,0.280620363309242,0.55767065704574
"Private",-0.604482578977668,0.53065016043436,0.549892378900734
"Public",-1.28476995386797,-0.872244301253116,-1.10157749452291
"Public",-1.71322274477002,-0.664037670192564,-1.87905175092595
"Public",-1.48730641504898,-1.59687611328482,-1.56261725366323
"Private",0.494772040149871,-0.830875734819687,-0.0621166878721906
"Private",-0.636679997938501,0.482007999902746,-1.87905175092595
"Public",-0.419447619389476,-0.87042590272857,-0.497700263992493
"Public",-1.80006225649011,0.514284573713443,0.605401000208273
"Public",-1.23320064383112,-0.318087350897629,-0.454212617999963
"Private",1.67472060555269,-0.880427094613574,0.597269163965767
"Private",-0.101748605742747,1.58713970319576,1.0784617346636
"Private",1.40765570720122,-1.8328133218447,-0.576897277832548
"Public",-0.540755737300001,0.129693285771899,0.131986707655444
"Public",-0.687714910980154,0.690214630963298,1.12442428733863
"Private",0.471792969356248,2.11174767752737,1.04204525062108
"Private",0.096779877974259,0.900694260179533,1.06714787554359
"Private",-0.286115569086938,-0.539931970892278,-0.153334677027254
"Private",-0.470616131679929,0.964338208538654,0.597622722063267
"Public",-1.35651275047365,-1.03044497288864,-1.20234155231048
"Private",0.382949468904155,-0.813600948836498,0.303462384943063
"Private",-0.637882391177702,1.47258059614935,-0.498053822089993
"Private",1.05655688135445,1.08026111447848,1.19584302303368
"Public",1.53791497478135,-1.63051648598893,-0.0334784819746708
"Private",2.08754228434512,-0.22898582319486,0.344828682350592
"Private",1.36543834458037,0.175153248885556,0.261742529438034
"Private",0.257766972778426,1.80307452798564,1.29377861604125
"Private",-0.378699848505434,1.3675680813568,1.33832693632628
"Private",1.13952201485934,0.834777313664729,0.628028718448288
"Public",0.237727085458405,-0.781324375025801,0.174060121257973
"Private",1.90624810372333,0.0533205477409542,0.203759001447994
"Private",0.41608208260659,-0.420372267903359,0.819303649195921
"Public",0.575733184922755,-1.29774955599695,0.264570994218036
"Public",-0.648436731832913,-0.223530627621221,-0.958740023132813
"Private",1.59122107505261,0.146968071755089,0.876580060990961
"Private",0.518419107187496,0.10832710310848,0.997496930336045
"Public",-0.67435498610014,1.30256033410427,0.997496930336045
"Private",0.87018592927826,1.33347310902155,0.847588296995941
"Private",-0.592325047336855,1.6857878231524,-0.184801347704776
"Private",-1.0246522164541,-0.982257411988167,-1.87905175092595
"Private",0.782411222816569,0.171516451836464,0.794201024273404
"Private",0.109739005107872,-0.604030518882536,-0.708067332005139
"Private",3.85278915874135,-0.797689961746717,0.666566551075815
"Private",-0.559593231380821,-2.1410318717553,-1.65100677803829
"Private",1.4870136609885,-0.0598747604120536,0.858548598018449
"Private",-0.776558411432246,0.273801368842194,0.377709585418115
"Private",-1.37641903854487,1.1711810407058,-1.87905175092595
"Private",1.11627574556812,-1.37684989181472,0.0814278997129089
"Public",1.16851305184897,-1.72825540668329,-0.40754294912993
"Private",0.931240785979924,-0.708133834412812,0.70262947702084
"Private",-0.891854563146765,1.56622812016348,1.44439436557636
"Private",1.18107138123618,-1.79599075172264,0.0559717166928913
"Public",-0.735677041299403,-0.695859644372124,-1.87905175092595
"Private",0.842931682523032,-0.0398723766420444,0.900268453523478
"Public",0.403256554721777,-1.04499216108502,0.696618989363336
"Private",-1.14155155915422,1.03707414952051,0.37099198156561
"Private",-0.552913268940814,0.836595712189276,0.29851257157806
"Private",0.753420185826939,0.0483199517984519,0.329272126060581
"Private",1.24506542141145,0.626570682604177,0.430743300043151
"Public",-0.434544334503891,-0.594938526259804,0.199516304277991
"Private",2.6509303165353,-1.16500646370507,0.662677412003312
"Private",0.218889591377586,0.747948784117643,1.20857111454369
"Public",-0.629599237752094,-0.0521465666827316,0.456199483063169
"Private",-0.463000974498321,0.975248599685931,0.593380024893265
"Private",1.7803976113536,-0.811327950680815,0.116783709462934
"Private",0.468987385131445,-0.85451491563879,-0.314557169487366
"Private",-0.526327018429587,-0.781778974656937,0.722782288578354
"Public",-1.57000435005627,-0.32854314241377,-0.99657073956534
"Private",0.227840741047195,-0.218530031678719,0.732328357210861
"Private",-0.748769767681817,2.11174767752737,-1.87905175092595
"Private",1.48126889329009,-1.59596691402255,-0.0218110647571628
"Private",1.07031760398087,-0.807236554000586,1.24710894717122
"Private",-0.951172629614027,0.986158990833209,-1.13834753666294
"Private",1.3885510146228,0.263800176957189,0.0418293927928815
"Private",0.480209722030656,0.412908855969986,0.568277399970747
"Private",1.32776335641873,-1.56960013541662,-0.422392389224941
"Public",-0.881300222491554,0.00422378757820374,-0.0472672477771804
"Private",-1.14382274638383,1.71715519770082,1.29271794174875
"Private",1.52241746192054,2.04719452990598,1.6565292240765
"Private",1.47659291958209,-0.234895618399635,1.09189694236861
"Public",-0.924452779853999,-0.555388358350922,-0.943890583037803
"Private",1.41473646738762,1.13572226947714,1.45287975991636
"Private",-0.195401679151644,1.17390863849262,0.632271415618292
"Private",0.63865843110762,1.33801910533292,1.24710894717122
"Private",0.631577670921213,-0.569935546547292,-0.488861311554987
"Public",-1.39098135666408,-0.769959384247386,-1.87905175092595
"Private",0.960766219964754,1.43939482307638,0.77440177081339
"Private",0.735517886487721,0.634753475964636,0.584541072455758
"Private",-0.20141364534765,0.633389677071226,0.756016749743377
"Public",-1.70747797707161,0.399270867035889,-1.87905175092595
"Private",-0.767874460260237,1.01434416796368,0.559438447533241
"Public",-0.00569074585544717,0.0133157802009353,0.194920049010488
"Private",1.85908756889688,-1.32366173497174,0.150018170627956
"Private",-0.0362849738306789,0.645663867111913,0.928199543225997
"Public",-1.05885362414694,-0.505382398925899,-1.87905175092595
"Private",0.0409353919758011,0.514284573713443,0.905218266888481
"Public",-0.842556440339514,-0.00577740430680086,-0.518913749842508
"Private",-0.538083752323999,-0.371730107371745,-0.69533924049513
"Private",0.327238582154498,-0.14670328995914,0.952595051953514
"Private",0.892897801574284,-1.21228482534328,0.463624203110674
"Private",-0.234679858298884,0.970702603374566,1.11134263773112
"Public",-0.723653108907391,-1.41821845824814,-1.73161802426835
"Public",-0.0861174936331305,-1.54868855238434,-0.226521203209805
"Public",-0.461264184263919,-0.902702476539267,-0.43547403883245
"Private",-0.737814629280206,-0.0657845556168289,-1.87905175092595
"Private",-0.190992903941239,-1.41367246193678,-0.941062118257801
"Private",-1.06018961663494,1.15845225103397,1.6565292240765
"Public",0.0788775786350404,-0.404461280813579,-1.87905175092595
"Public",-1.03774494283652,0.404726062609528,-1.87905175092595
"Private",0.92750000701352,1.08253411263416,0.163453378332966
"Private",0.928835999501521,-1.06181234743707,0.638989019470796
"Private",1.50812234229892,2.05628652252871,1.61339513618147
"Private",1.14900756152415,1.19800241894285,1.14386998270115
"Private",1.57919714266059,0.93297083399023,0.346950030935594
"Private",0.830373353135819,-0.121245710615491,0.770159073643387
"Private",0.573461997693153,1.51167616442709,0.748592029695872
"Private",0.0111427594933703,1.33938290422633,1.05583401642359
"Public",-0.67475578384654,-0.645853684947101,0.0347582308428766
"Private",0.877266689464668,1.611233483646,1.15129470274865
"Private",-0.628129646015292,0.42563764564181,0.181484841305478
"Private",-0.522319040965582,-0.370366308478335,0.203405443350494
"Private",1.41607245987563,-0.239441614711001,1.09790743002611
"Public",-0.677561368071343,-1.22364981612169,0.0117769545053608
"Private",0.791495971734979,-0.248533607333733,0.346242914740593
"Private",2.15193712226679,1.46667080094457,1.29165726745625
"Private",-0.628664043010493,0.520648968549355,0.419075882825643
"Private",-0.0254634346778677,0.417454852281352,0.668334341563317
"Public",-1.36265831591845,-0.218530031678719,-0.635587922017589
"Private",0.405394142702579,-0.921341061415866,0.441703601065659
"Private",0.971587759117565,0.77886155903493,1.13821305314114
"Private",-0.65525029352172,1.55349933049166,1.40833143963133
"Private",0.11735416228948,1.10571869382213,0.874105154308459
"Private",0.79256476572538,-0.461740834336787,1.22872392610121
"Private",1.06537443177526,0.935243832145913,0.00505935065285608
"Private",0.888221827866279,0.88251027493407,-0.00908297324715375
"Public",0.278608455591247,-0.975893017152256,-0.157930932294757
"Public",-0.875421855544348,-1.4027620707895,-1.31936928258306
"Public",-0.844961226817917,-1.53868736049934,-1.79455136562339
"Private",-1.80166544747571,-1.28183856890717,-1.87905175092595
"Public",-1.14048276516382,-0.721771823346909,-1.57287043849074
"Public",-1.22558548664951,1.50894856664027,1.49177115064139
"Private",-0.656586286009721,-2.20694881827011,-1.55059627834822
"Private",0.728971523296514,1.40620905000341,1.16897260762366
"Private",0.658831917676441,-0.384004297412433,-0.163234303757261
"Private",1.0076595562936,-0.824056740352639,-0.172780372389768
"Public",-0.40395010652866,-0.860879310474701,-1.09132430969541
"Private",0.708130040483692,1.18845582668899,1.06325873647109
"Private",-0.126998863765973,0.820684725099495,0.652424227175805
"Private",0.0254378791149851,-0.73359141375646,0.141179218190451
"Public",-0.818508575555489,0.539287553425955,0.943048983321007
"Private",1.85788517565768,-0.996350000553401,-0.0486814801671812
"Private",0.0554977100950162,-0.928160055882915,-0.664933244110109
"Private",1.46537058268288,0.858871094114968,0.0287477431853723
"Private",1.38414223941239,1.19845701857399,-1.75565997489837
"Public",-1.08971505061977,-0.405370480075852,-1.21436252762549
"Public",-1.5042735196466,-0.0430545740600001,-0.459515989462467
"Private",1.15221394349535,-0.356728319544238,-0.288393870272348
"Public",-0.819710968794691,-1.46595141951749,-0.978185718495327
"Private",0.294773964696064,-0.200800646064392,-0.573715254955046
"Private",0.729505920291714,-0.340817332454458,0.415893859948141
"Private",1.0995758394681,0.787044352395389,-0.130353400689738
"Private",0.303190717370473,-0.201709845326666,0.233811439735515
"Private",0.843866877264633,-1.17637145448349,0.315483360258072
"Public",-0.179904166290828,-0.890882886129716,0.0828421321029098
"Private",0.485553691982662,-0.148976288114822,1.06644075934859
"Private",0.34914885895772,1.49303757955049,0.927492427030996
"Public",-1.11015573568619,-0.184435059343475,-1.53716107064321
"Private",0.646674386035629,1.4521236127482,1.10745349865862
"Private",0.510536751508288,-0.538568171998869,0.708639964678344
"Private",-0.750907355662619,1.44666841717456,1.03143850769607
"Public",0.330712162623301,-1.21273942497441,0.546710356023232
"Private",-1.23400223932392,1.92217963134342,-1.87905175092595
"Private",-0.793391916781063,-1.89963946762178,-1.87905175092595
"Private",0.490096066441866,-0.814055548467634,-0.408957181519931
"Private",-0.676225375583342,1.1898196255824,0.939513402346005
"Private",0.458299445227434,0.697033625430346,-0.375369162257408
"Public",-2.05056084799037,0.319261331955851,-1.87905175092595
"Private",-0.285313973594137,2.11174767752737,1.6565292240765
"Private",-0.033479389605876,-0.383549697781296,-0.300061287489856
"Private",1.91920723085695,-1.72780080705215,-0.0850979642097068
"Public",-0.602612189494466,-0.419463068641086,0.197041397595489
"Private",0.463242617433039,-0.705406236625992,0.0828421321029098
"Public",-0.746899378198615,-0.47856102068884,-0.761101046630176
"Public",-0.434544334503891,-0.16125047815551,1.37757188514881
"Private",0.490363264939467,0.3260803264229,0.454785250673168
"Private",1.44199071414285,0.727491800716497,0.797383047150906
"Public",-1.28396835837517,-1.09136132346095,-1.33775430365308
"Private",1.3913565988476,1.13754066800169,0.814707393928418
"Private",0.631577670921213,0.89842126202385,0.923956846055994
"Public",0.498112021369875,-0.86906210383516,0.362153029128104
"Private",-0.426261181078283,1.68442402425899,1.5122775202964
"Public",-1.27702119743756,-1.07817793415799,-1.52726144391321
"Private",1.43050117874604,0.927515638416591,1.2198849736637
"Private",1.40578531771802,-0.218984631309855,0.262449645633035
"Public",-0.424925188590281,0.151514068066455,-1.87905175092595
"Private",1.12776528096493,-0.187162657130295,0.29921968777306
"Private",-0.456989008302315,1.4421224208632,0.535750055000725
"Private",0.360905592852133,0.236069599457858,0.783240723250896
"Private",-0.869276290099542,0.220158612368078,0.499333570958199
"Private",-1.0215794337317,1.42439303524887,1.3687329327113
"Private",0.235188699731202,-0.490835210729528,1.6565292240765
"Public",-0.161333870707608,-0.869516703466297,-0.110554147229724
"Private",1.41139648616762,-0.213529435736216,1.12831342641114
"Public",-0.961326172522837,-1.68825063914327,-1.14647937290544
"Private",-0.397136544839853,0.0715045329864172,0.638281903275795
"Public",-0.711094779520178,-1.17591685485235,-1.78005548362588
